Name,Platform,Year,Genre,Publisher
Super Mario World 2: Yoshi's Island,SNES,1995,Platformer,Nintendo EAD
Civilization II,Microsoft Windows,1996,Turn-based strategy,MicroProse
Final Fantasy VII,PlayStation,1997,Role-playing,Square
The Legend of Zelda: Ocarina of Time,Nintendo 64,1999,Action-adventure,Nintendo EAD
Soulcalibur,"Arcade, Dreamcast",1999,Fighting,Namco
Metal Gear: Ghost Babel,Game Boy Color,2000,Stealth,Konami Computer Entertainment Japan
Grand Theft Auto III,PlayStation 2,2001,Action-adventure,DMA Design
Metroid Prime,GameCube,2002,Action-adventure,Retro Studios
Clifford the Big Red Dog: Phonics,Microsoft Windows,2003,Educational,ImaginEngine
Grand Theft Auto: San Andreas,PlayStation 2,2004,Action-adventure,Rockstar North
Resident Evil 4,"GameCube, PlayStation 2",2005,Survival horror,Capcom
The Legend of Zelda: Twilight Princess,"GameCube, Wii",2006,Action-adventure,Nintendo EAD
Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD Tokyo
Grand Theft Auto IV,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action-adventure,Rockstar North
Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog
Super Mario Galaxy 2,Wii,2010,Platformer,Nintendo EAD Tokyo
Batman: Arkham City,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action-Adventure,Rocksteady Studios
Journey,PlayStation 3,2012,Adventure,Thatgamecompany
Grand Theft Auto V,"PlayStation 3, Xbox 360",2013,Action-adventure,Rockstar North
Bayonetta 2,Wii U,2014,Action,PlatinumGames
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
The Witcher 3: Wild Hunt – Blood and Wine,"Microsoft Windows, PlayStation 4, Xbox One",2016,Action role-playing,CD Projekt RED
Super Mario Odyssey,Nintendo Switch,2017,Platformer,Nintendo EPD
Grand Theft Auto III,PlayStation 2,2001,Action-adventure,DMA Design
Grand Theft Auto: Vice City,PlayStation 2,2002,Action-adventure,Rockstar North
Prince of Persia: The Sands of Time,"Game Boy Advance, PlayStation 2, GameCube, Xbox, Microsoft Windows",2003,Action-adventure,Ubisoft Montreal
Shadow of the Colossus,PlayStation 2,2005,Action-adventure,Team Ico
Ōkami,PlayStation 2 Wii,2006,Action-adventure,Clover Studio
BioShock,"Microsoft Windows, Xbox 360",2007,First-person shooter,Irrational Games
LittleBigPlanet,PlayStation 3,2008,Puzzle-platformer,Media Molecule
Batman: Arkham Asylum,"Microsoft Windows, PlayStation 3, Xbox 360",2009,Action-adventure,Rocksteady Studios
Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego
Journey,PlayStation 3,2012,Adventure,Thatgamecompany
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
Overwatch,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,Blizzard Entertainment
Wii Sports,Wii,2006,Sports,Nintendo EAD
Mass Effect,Xbox 360,2007,Role-playing,BioWare
Grand Theft Auto IV,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action-adventure,Rockstar North
Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog
Mass Effect 2,"Microsoft Windows, Xbox 360",2010,Action role-playing,BioWare
Wibarm,"PC-88, PC-98, X1, MZ, FM-7, MS-DOS",1986,Role-playing shooter,Arsys Software
After Burner,"Arcade, X68000, FM Towns, MSX",1989,Combat flight simulator,Sega AM2
Dungeon Master,"Atari ST, X68000, MSX, FM Towns, PC-9801",1990,Role-playing,"FTL Games, Victor Interactive Software"
Parodius! From Myth to Laughter,"Arcade, X68000",1991,Side-scrolling shooter,Konami
Overtake,X68000,1992,Racing,Zoom
Castlevania Chronicles,X68000,1993,Platformer,Konami
Geograph Seal,X68000,1994,Platformer,Exact
Wizardry II: The Knight of Diamonds,Apple II,1982,Role-playing,Sir-Tech
Pitfall!,Atari 2600,1983,Platformer,Activision
Boulder Dash,Atari 8-bit,1984,Action,First Star Software
Ys I & II,TurboGrafx-CD,1990,Action role-playing,Nihon Falcom
The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games
Gone Home,"Microsoft Windows, OS X, Linux",2013,Adventure,The Fullbright Company
Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare
Her Story,"Microsoft Windows, OS X, iOS",2015,Interactive movie,Sam Barlow
DOOM,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,id Software
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action-adventure,Kojima Productions
Mass Effect 2,"Microsoft Windows, Xbox 360",2010,Action role-playing,BioWare
The Legend of Zelda: Skyward Sword,Wii,2011,Action-adventure,Nintendo EAD
Xenoblade Chronicles,Wii,2012[405],Action role-playing,Monolith Soft
Grand Theft Auto V,"PlayStation 3, Xbox 360",2013,Action-adventure,Rockstar North
Persona Q: Shadow of the Labyrinth,3DS,2014[407],Role-playing,Atlus
The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt RED
Uncharted 4: A Thief's End,PlayStation 4,2016,Action-adventure,Naughty Dog
The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog
Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare
